ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
15225	20,22,22,32,27,50	42,24,44,39,47,52			187	99
34517	54,84,63,84,88,57	1,11,1,2,0,0			198	99
51809	157,56,239,139,132,105	4,4,2,6,1,6			188	99
58989	205,202,213,230,423,75	13,11,19,13,9,17			198	99
64939	36,51,21,51,73,8	1,2,3,0,16,0			183	99
64969	128,48,109,60,37,139	19,5,22,18,6,29			131	99
68704	65,31,98,48,37,68	14,5,10,18,8,10			198	99
75710	27,60,84,42,46,40	0,3,1,2,1,3			198	99
76672	21,16,43,11,27,34	42,25,71,28,16,59			156	99
77359	2,1,0,1,0,4	90,68,71,70,153,47			198	99
86641	189,623,470,565,684,386	110,143,153,249,428,189			146	99
91362	154,44,114,79,45,135	27,11,17,12,38,18			198	99
